,Domain,Facility_ID,DateFrom
90,Fyzioterapeut,10586,2018-01-30
91,Fyzioterapeut,11601,2013-02-01
92,Fyzioterapeut,12236,2017-05-09
93,Fyzioterapeut,12237,2017-05-09
94,Fyzioterapeut,12238,2017-01-01
95,Fyzioterapeut,23813,2014-01-01
96,Fyzioterapeut,24742,2013-02-11
97,Fyzioterapeut,32552,2011-01-01
98,Fyzioterapeut,32690,2011-01-01
99,Fyzioterapeut,32691,2011-01-01
100,Fyzioterapeut,33655,2010-01-01
101,Fyzioterapeut,40804,2006-04-01
102,Fyzioterapeut,43085,2004-06-01
103,Fyzioterapeut,43086,2004-06-01
104,Fyzioterapeut,45742,2001-09-01
105,Fyzioterapeut,59888,1993-01-01
106,kardiologie,9616,2018-06-01
107,kardiologie,24873,2013-11-01
108,kardiologie,40800,2006-04-01
109,kardiologie,50586,1993-10-01
110,kardiologie,59870,1993-01-01
111,Dentální hygienistka,26,2021-09-14
112,Dentální hygienistka,67,2021-08-17
113,Dentální hygienistka,310,2021-09-15
114,Dentální hygienistka,359,2021-09-01
115,Dentální hygienistka,647,2021-06-04
116,Dentální hygienistka,1424,2021-03-08
117,Dentální hygienistka,1456,2021-05-01
118,Dentální hygienistka,2571,2020-11-04
119,Dentální hygienistka,2962,2020-08-21
120,Dentální hygienistka,3397,2020-04-30
121,Dentální hygienistka,4249,2020-02-13
122,Dentální hygienistka,4705,2020-03-01
123,Dentální hygienistka,5162,2019-12-05
124,Dentální hygienistka,6784,2019-06-01
125,Dentální hygienistka,7072,2019-04-01
126,Dentální hygienistka,7236,2019-02-18
127,Dentální hygienistka,8910,2018-07-01
128,Dentální hygienistka,9220,2018-06-20
129,Dentální hygienistka,9224,2018-06-18
130,Dentální hygienistka,10124,2018-02-08
131,Dentální hygienistka,11477,2017-10-04
132,Dentální hygienistka,11917,2017-08-01
133,Dentální hygienistka,11919,2017-08-01
134,Dentální hygienistka,12571,2017-04-01
135,Dentální hygienistka,13411,2017-01-01
136,Dentální hygienistka,13741,2015-12-01
137,Dentální hygienistka,14770,2015-11-24
138,Dentální hygienistka,14879,2012-01-01
139,Dentální hygienistka,15004,2016-01-01
140,Dentální hygienistka,15036,2015-11-11
141,Dentální hygienistka,16278,2016-05-18
142,Dentální hygienistka,19723,2015-07-14
143,Dentální hygienistka,20105,2015-01-01
144,Dentální hygienistka,20303,2012-10-21
145,Dentální hygienistka,20327,2015-05-01
146,Dentální hygienistka,20978,2015-05-01
147,Dentální hygienistka,20989,2014-10-01
148,Dentální hygienistka,21186,2015-03-17
149,Dentální hygienistka,23043,2014-03-12
150,Dentální hygienistka,23044,2014-03-01
151,Dentální hygienistka,23197,2014-03-27
152,Dentální hygienistka,23408,2014-01-01
153,Dentální hygienistka,23815,2014-01-01
154,Dentální hygienistka,23823,2014-01-01
155,Dentální hygienistka,24662,2013-08-01
156,Dentální hygienistka,24802,2013-09-01
157,Dentální hygienistka,24811,2013-01-01
158,Dentální hygienistka,24856,2013-08-30
159,Dentální hygienistka,25119,2013-07-01
160,Dentální hygienistka,27879,2013-01-01
161,Dentální hygienistka,29054,2012-01-01
162,Dentální hygienistka,29266,2012-01-01
163,Dentální hygienistka,29274,2012-01-01
164,Dentální hygienistka,30207,2012-01-01
165,Dentální hygienistka,30897,2011-09-01
166,Dentální hygienistka,32569,2011-01-01
167,Dentální hygienistka,35738,2009-02-01
168,Dentální hygienistka,40413,2006-07-01
169,Dentální hygienistka,46920,1998-01-01
170,Dentální hygienistka,60076,1991-01-01
171,Dentální hygienistka,60605,1991-01-01
172,Fyzioterapeut,16,2021-10-01
173,Fyzioterapeut,64,2021-09-01
174,Fyzioterapeut,65,2021-09-01
175,Fyzioterapeut,73,2021-08-13
176,Fyzioterapeut,225,2021-08-11
177,Fyzioterapeut,311,2021-08-01
178,Fyzioterapeut,487,2021-09-01
179,Fyzioterapeut,643,2021-06-08
180,Fyzioterapeut,644,2021-06-08
181,Fyzioterapeut,747,2021-05-24
182,Fyzioterapeut,748,2021-05-24
183,Fyzioterapeut,937,2021-05-03
184,Fyzioterapeut,1020,2021-04-26
185,Fyzioterapeut,1027,2021-04-23
186,Fyzioterapeut,1084,2021-04-01
187,Fyzioterapeut,1096,2021-04-01
188,Fyzioterapeut,1102,2021-03-25
189,Fyzioterapeut,1105,2021-04-13
190,Fyzioterapeut,1106,2021-04-13
191,Fyzioterapeut,1113,2021-05-01
192,Fyzioterapeut,1363,2021-04-01
193,Fyzioterapeut,1420,2021-03-09
194,Fyzioterapeut,1452,2021-02-25
195,Fyzioterapeut,1453,2021-02-25
196,Fyzioterapeut,1496,2021-02-17
197,Fyzioterapeut,1564,2021-02-15
198,Fyzioterapeut,1582,2021-01-28
199,Fyzioterapeut,1590,2021-03-01
200,Fyzioterapeut,1796,2021-01-04
201,Fyzioterapeut,2049,2021-01-04
202,Fyzioterapeut,2229,2020-11-28
203,Fyzioterapeut,2290,2021-01-04
204,Fyzioterapeut,2291,2021-01-04
205,Fyzioterapeut,2306,2020-12-09
206,Fyzioterapeut,2398,2020-11-25
207,Fyzioterapeut,2506,2020-11-23
208,Fyzioterapeut,2512,2020-10-16
209,Fyzioterapeut,2793,2020-09-03
210,Fyzioterapeut,2818,2020-09-14
211,Fyzioterapeut,2868,2020-09-10
212,Fyzioterapeut,2878,2020-10-01
213,Fyzioterapeut,3331,2020-08-01
214,Fyzioterapeut,3439,2020-06-03
215,Fyzioterapeut,3473,2020-06-03
216,Fyzioterapeut,3816,2020-04-09
217,Fyzioterapeut,4251,2020-02-27
218,Fyzioterapeut,4252,2020-02-27
219,Fyzioterapeut,4262,2020-03-01
220,Fyzioterapeut,5332,2019-11-15
221,Fyzioterapeut,5502,2019-10-25
222,Fyzioterapeut,5607,2019-10-11
223,Fyzioterapeut,5608,2019-10-11
224,Fyzioterapeut,5704,2019-09-25
225,Fyzioterapeut,5933,2019-08-07
226,Fyzioterapeut,5949,2019-09-02
227,Fyzioterapeut,5951,2019-10-01
228,Fyzioterapeut,6070,2019-06-20
229,Fyzioterapeut,6073,2019-07-22
230,Fyzioterapeut,6208,2019-07-04
231,Fyzioterapeut,6651,2019-05-06
232,Fyzioterapeut,6732,2019-05-06
233,Fyzioterapeut,6779,2019-05-06
234,Fyzioterapeut,6875,2019-01-01
235,Fyzioterapeut,7364,2019-02-11
236,Fyzioterapeut,7400,2018-12-01
237,Fyzioterapeut,7503,2019-01-22
238,Fyzioterapeut,7952,2019-01-01
239,Fyzioterapeut,7953,2019-01-01
240,Fyzioterapeut,7957,2018-01-01
241,Fyzioterapeut,8174,2018-10-17
242,Fyzioterapeut,9417,2018-06-01
243,Fyzioterapeut,9710,2018-05-10
244,Fyzioterapeut,9711,2018-05-10
245,Fyzioterapeut,9997,2018-01-01
246,Fyzioterapeut,10009,2018-03-26
247,Fyzioterapeut,10782,2018-01-01
248,Fyzioterapeut,10981,2018-02-01
249,Fyzioterapeut,10985,2018-02-01
250,Fyzioterapeut,11046,2017-01-01
251,Fyzioterapeut,11124,2018-01-01
252,Fyzioterapeut,11380,2017-11-01
253,Fyzioterapeut,11756,2017-08-28
254,Fyzioterapeut,11797,2017-07-01
255,Fyzioterapeut,11817,2017-08-10
256,Fyzioterapeut,12085,2017-06-20
257,Fyzioterapeut,12170,2017-06-21
258,Fyzioterapeut,12171,2017-06-21
259,Fyzioterapeut,12190,2017-06-05
260,Fyzioterapeut,12232,2017-06-01
261,Fyzioterapeut,12414,2017-07-01
262,Fyzioterapeut,12416,2017-05-04
263,Fyzioterapeut,12668,2017-03-16
264,Fyzioterapeut,12817,2017-02-28
265,Fyzioterapeut,13259,2015-10-21
266,Fyzioterapeut,13518,2016-12-16
267,Fyzioterapeut,14001,2017-03-01
268,Fyzioterapeut,14002,2016-10-27
269,Fyzioterapeut,14450,2016-09-05
270,Fyzioterapeut,14574,2015-01-01
271,Fyzioterapeut,14610,2016-06-13
272,Fyzioterapeut,14890,2016-08-01
273,Fyzioterapeut,14892,2016-08-01
274,Fyzioterapeut,14928,2016-02-15
275,Fyzioterapeut,14955,2016-01-01
276,Fyzioterapeut,15033,2016-02-26
277,Fyzioterapeut,15166,2015-10-02
278,Fyzioterapeut,15167,2015-10-06
279,Fyzioterapeut,16167,2016-06-01
280,Fyzioterapeut,16202,2015-06-01
281,Fyzioterapeut,16347,2016-05-23
282,Fyzioterapeut,17074,2016-01-01
283,Fyzioterapeut,19752,2015-08-01
284,Fyzioterapeut,19836,2015-08-17
285,Fyzioterapeut,20079,2014-07-28
286,Fyzioterapeut,20132,2014-07-01
287,Fyzioterapeut,20981,2014-05-01
288,Fyzioterapeut,20985,2014-11-06
289,Fyzioterapeut,21860,2014-06-11
290,Fyzioterapeut,23033,2014-01-01
291,Fyzioterapeut,23042,2016-01-04
292,Fyzioterapeut,23763,2014-01-01
293,Fyzioterapeut,23764,2014-01-01
294,Fyzioterapeut,23972,2014-01-01
295,Fyzioterapeut,23990,2014-01-01
296,Fyzioterapeut,24660,2013-11-01
297,Fyzioterapeut,24677,2013-01-01
298,Fyzioterapeut,24678,2013-01-01
299,Fyzioterapeut,24686,2013-01-01
300,Fyzioterapeut,24701,2013-09-01
301,Fyzioterapeut,24732,2013-03-01
302,Fyzioterapeut,24733,2013-03-01
303,Fyzioterapeut,24897,2013-04-01
304,Fyzioterapeut,25088,2013-07-01
305,Fyzioterapeut,25152,2013-01-01
306,Fyzioterapeut,25583,2013-01-01
307,Fyzioterapeut,25586,2013-02-01
308,Fyzioterapeut,27405,2013-01-01
309,Fyzioterapeut,27605,2013-01-01
310,Fyzioterapeut,27606,2013-01-01
311,Fyzioterapeut,27694,2013-01-01
312,Fyzioterapeut,27891,2013-01-01
313,Fyzioterapeut,27892,2013-01-01
314,Fyzioterapeut,28572,2012-01-01
315,Fyzioterapeut,28605,2012-08-01
316,Fyzioterapeut,28746,2012-02-01
317,Fyzioterapeut,29845,2012-04-06
318,Fyzioterapeut,30385,2012-01-01
319,Fyzioterapeut,30785,2011-04-01
320,Fyzioterapeut,31065,2011-09-01
321,Fyzioterapeut,31079,2011-04-01
322,Fyzioterapeut,31652,2011-06-01
323,Fyzioterapeut,32061,2011-02-16
324,Fyzioterapeut,32062,2011-02-16
325,Fyzioterapeut,32087,2011-04-01
326,Fyzioterapeut,32088,2011-04-01
327,Fyzioterapeut,32141,2011-01-01
328,Fyzioterapeut,32987,2011-01-01
329,Fyzioterapeut,33543,2010-07-01
330,Fyzioterapeut,34151,2010-01-01
331,Fyzioterapeut,34239,2010-01-01
332,Fyzioterapeut,35121,2009-07-13
333,Fyzioterapeut,35311,2009-07-03
334,Fyzioterapeut,35736,2009-01-01
335,Fyzioterapeut,36378,2009-01-01
336,Fyzioterapeut,37388,2008-01-01
337,Fyzioterapeut,37448,2008-01-01
338,Fyzioterapeut,38669,2007-07-02
339,Fyzioterapeut,39525,2007-01-01
340,Fyzioterapeut,40908,2005-12-19
341,Fyzioterapeut,40924,2005-12-01
342,Fyzioterapeut,43369,2002-06-01
343,Fyzioterapeut,43370,2002-06-01
344,Fyzioterapeut,43391,2004-01-01
345,Fyzioterapeut,44767,1994-04-01
346,Fyzioterapeut,45447,2002-11-01
347,Fyzioterapeut,46847,1998-10-01
348,Fyzioterapeut,47667,1996-01-01
349,Fyzioterapeut,47668,1996-01-01
350,Fyzioterapeut,47711,1996-01-01
351,Fyzioterapeut,47946,1997-02-01
352,Fyzioterapeut,48443,1995-05-01
353,Fyzioterapeut,49231,1995-03-01
354,Fyzioterapeut,49314,1994-10-01
355,Fyzioterapeut,49320,1994-08-01
356,Fyzioterapeut,49337,1994-05-01
357,Fyzioterapeut,51931,1976-12-01
358,Fyzioterapeut,51962,1993-07-01
359,Fyzioterapeut,54783,1992-07-01
360,Fyzioterapeut,57452,1998-10-01
361,Fyzioterapeut,59903,1991-01-01
362,Fyzioterapeut,60097,1991-01-01
363,Fyzioterapeut,60106,1991-01-01
364,Fyzioterapeut,60142,1991-01-01
365,kardiologie,740,2021-08-01
366,kardiologie,4473,2020-01-01
367,kardiologie,4474,2020-01-01
368,kardiologie,5507,2019-11-01
369,kardiologie,9664,2018-05-03
370,kardiologie,11258,2018-01-01
371,kardiologie,14094,2010-09-13
372,kardiologie,16991,2014-12-05
373,kardiologie,20127,2009-11-26
374,kardiologie,20311,2012-10-01
375,kardiologie,20749,2011-03-28
376,kardiologie,21678,2014-12-03
377,kardiologie,22047,2014-09-01
378,kardiologie,22511,2014-09-15
379,kardiologie,23031,2014-01-01
380,kardiologie,23061,2014-03-01
381,kardiologie,23502,2014-03-01
382,kardiologie,23504,2014-04-01
383,kardiologie,24698,2013-09-01
384,kardiologie,25746,2013-06-01
385,kardiologie,27264,2013-01-01
386,kardiologie,28965,2012-09-01
387,kardiologie,31879,2011-01-01
388,kardiologie,32037,2011-01-01
389,kardiologie,33544,2010-01-01
390,kardiologie,33546,2010-01-01
391,kardiologie,35940,2009-01-01
392,kardiologie,37453,2008-01-01
393,kardiologie,37458,2008-01-01
394,kardiologie,38785,2007-01-01
395,kardiologie,43384,2004-01-01
396,kardiologie,45685,2002-01-01
397,kardiologie,47079,1998-01-01
398,kardiologie,47080,1998-01-01
399,kardiologie,47081,1998-01-01
400,kardiologie,47082,1998-01-01
401,kardiologie,47268,1998-01-01
402,kardiologie,47269,1998-01-01
403,kardiologie,47270,1998-01-01
404,kardiologie,47271,1998-01-01
405,kardiologie,47272,1998-01-01
406,kardiologie,51949,1993-07-01
407,kardiologie,54787,1992-07-01
408,kardiologie,60160,1991-01-01
409,kardiologie,60161,1991-01-01
410,kardiologie,60171,1991-01-01
411,kardiologie,60532,1991-01-01
412,kardiologie,60551,1991-01-01
413,kardiologie,60579,1991-01-01
414,sexuologie,4713,2020-03-01
415,sexuologie,8925,2018-01-01
416,sexuologie,8931,2018-01-01
417,sexuologie,11216,2017-05-25
418,sexuologie,11777,2017-10-01
419,sexuologie,14106,2000-01-04
420,sexuologie,25104,2013-06-23
421,sexuologie,29262,2012-01-01
422,sexuologie,47388,1998-01-01
423,sexuologie,47389,1998-01-01
424,sexuologie,49371,1994-02-01
425,sexuologie,56802,1992-09-01
426,sexuologie,60093,1991-01-01
427,sexuologie,60487,1991-01-01
428,sexuologie,60488,1991-01-01
429,sexuologie,60498,1991-01-01
430,soudní lékařství,60511,1991-01-01
431,Dentální hygienistka,5288,2019-11-01
432,Dentální hygienistka,8505,2018-08-10
433,Dentální hygienistka,10643,2017-11-09
434,Dentální hygienistka,15024,2015-10-01
435,Dentální hygienistka,23046,2014-02-01
436,Dentální hygienistka,25121,2013-06-24
437,Dentální hygienistka,29586,2012-04-02
438,Dentální hygienistka,30138,2012-04-02
439,Dentální hygienistka,37173,2008-01-01
440,Fyzioterapeut,17,2021-09-08
441,Fyzioterapeut,1622,2021-03-01
442,Fyzioterapeut,1800,2021-01-01
443,Fyzioterapeut,1801,2021-01-01
444,Fyzioterapeut,2692,2020-09-30
445,Fyzioterapeut,2966,2020-09-01
446,Fyzioterapeut,5833,2019-08-07
447,Fyzioterapeut,7196,2019-02-05
448,Fyzioterapeut,7197,2019-02-05
449,Fyzioterapeut,8335,2018-01-01
450,Fyzioterapeut,8700,2018-10-01
451,Fyzioterapeut,9540,2018-04-24
452,Fyzioterapeut,9561,2018-06-01
453,Fyzioterapeut,9983,2018-04-01
454,Fyzioterapeut,10977,2018-02-01
455,Fyzioterapeut,11008,2018-01-01
456,Fyzioterapeut,11503,2017-09-01
457,Fyzioterapeut,12399,2017-04-07
458,Fyzioterapeut,13298,2017-01-01
459,Fyzioterapeut,15060,2015-12-01
460,Fyzioterapeut,18535,2015-02-01
461,Fyzioterapeut,18581,2014-11-01
462,Fyzioterapeut,24676,2013-01-01
463,Fyzioterapeut,24682,2013-01-01
464,Fyzioterapeut,24894,2013-09-04
465,Fyzioterapeut,26683,2013-01-01
466,Fyzioterapeut,26720,2013-01-01
467,Fyzioterapeut,29051,2012-07-01
468,Fyzioterapeut,30178,2012-01-01
469,Fyzioterapeut,30948,2011-08-01
470,Fyzioterapeut,37385,2008-01-01
471,Fyzioterapeut,56261,1999-04-01
472,Fyzioterapeut,60065,1976-12-01
473,kardiologie,2053,2021-02-01
474,kardiologie,14260,2014-07-01
475,kardiologie,19086,2015-09-01
476,kardiologie,19088,2015-09-01
477,kardiologie,26514,2013-08-01
478,kardiologie,28333,2012-09-01
479,kardiologie,45270,2003-01-01
480,kardiologie,60055,1976-12-01
481,Dentální hygienistka,3297,2020-07-01
482,Dentální hygienistka,5735,2019-09-25
483,Dentální hygienistka,5736,2019-09-25
484,Dentální hygienistka,17339,2016-05-01
485,Dentální hygienistka,26279,2013-09-01
486,Fyzioterapeut,960,2021-05-01
487,Fyzioterapeut,1321,2021-03-01
488,Fyzioterapeut,2503,2021-01-01
489,Fyzioterapeut,8944,2019-01-01
490,Fyzioterapeut,11670,2017-09-04
491,Fyzioterapeut,12981,2017-02-01
492,Fyzioterapeut,15526,2013-02-27
493,Fyzioterapeut,15530,2013-02-27
494,Fyzioterapeut,16605,2016-07-01
495,Fyzioterapeut,17559,2016-01-01
496,Fyzioterapeut,19641,2015-09-11
497,Fyzioterapeut,22149,2015-01-01
498,Fyzioterapeut,24103,2014-02-01
499,Fyzioterapeut,25864,2013-10-01
500,Fyzioterapeut,25865,2013-10-01
501,Fyzioterapeut,33405,2010-09-18
502,Fyzioterapeut,35870,2009-01-01
503,Fyzioterapeut,40442,2005-08-01
504,Fyzioterapeut,41128,2006-01-01
505,Fyzioterapeut,42022,2005-06-01
506,Fyzioterapeut,42058,2005-06-01
507,Fyzioterapeut,46723,1998-06-01
508,Fyzioterapeut,53583,1995-01-01
509,Fyzioterapeut,53664,1993-01-01
510,Fyzioterapeut,56073,2002-09-01
511,Fyzioterapeut,56076,1994-01-01
512,Fyzioterapeut,56198,1995-01-01
513,Fyzioterapeut,56199,2002-01-01
514,Fyzioterapeut,57006,1994-09-01
515,Fyzioterapeut,58119,1991-01-01
516,Fyzioterapeut,58533,1976-12-01
517,kardiologie,3273,2020-09-01
518,kardiologie,12300,2017-07-01
519,kardiologie,20478,2015-08-05
520,kardiologie,24413,2014-02-01
521,kardiologie,34384,2010-01-01
522,kardiologie,42045,2005-06-01
523,kardiologie,58510,1976-12-01
524,Dentální hygienistka,8625,2018-11-01
525,Dentální hygienistka,10606,2018-01-01
526,Dentální hygienistka,12206,2017-05-15
527,Dentální hygienistka,26549,2013-01-03
528,Dentální hygienistka,41681,2005-01-01
529,Dentální hygienistka,51098,1994-02-01
530,Fyzioterapeut,565,2021-06-12
531,Fyzioterapeut,3399,2020-06-02
532,Fyzioterapeut,6782,2019-05-01
533,Fyzioterapeut,7370,2019-01-23
534,Fyzioterapeut,10131,2018-03-01
535,Fyzioterapeut,10132,2018-03-01
536,Fyzioterapeut,10133,2018-03-01
537,Fyzioterapeut,10134,2018-03-01
538,Fyzioterapeut,14239,2015-05-01
539,Fyzioterapeut,17929,2015-07-01
540,Fyzioterapeut,20805,2015-06-24
541,Fyzioterapeut,21923,2014-01-01
542,Fyzioterapeut,23395,2014-04-01
543,Fyzioterapeut,24900,2013-08-01
544,Fyzioterapeut,27681,2013-01-01
545,Fyzioterapeut,37411,2001-01-01
546,Fyzioterapeut,49287,1995-01-01
547,Fyzioterapeut,52131,1993-04-01
548,Fyzioterapeut,54729,1993-03-01
549,Fyzioterapeut,59832,1992-01-01
550,Fyzioterapeut,59833,1992-01-01
551,kardiologie,2694,2021-01-01
552,kardiologie,14698,2014-10-01
553,kardiologie,14699,2014-10-01
554,kardiologie,17920,2015-07-01
555,kardiologie,50007,2002-01-01
556,kardiologie,50009,1994-08-01
557,kardiologie,59796,1992-01-01
558,sexuologie,38624,2007-01-01
559,sexuologie,38626,2007-01-01
560,Dentální hygienistka,1072,2021-04-16
561,Dentální hygienistka,27809,2013-01-01
562,Dentální hygienistka,29176,2012-02-01
563,Dentální hygienistka,53347,1993-02-01
564,Fyzioterapeut,222,2021-08-13
565,Fyzioterapeut,254,2021-07-30
566,Fyzioterapeut,258,2021-07-30
567,Fyzioterapeut,421,2021-07-01
568,Fyzioterapeut,423,2021-07-01
569,Fyzioterapeut,427,2021-07-01
570,Fyzioterapeut,428,2021-07-01
571,Fyzioterapeut,434,2021-07-01
572,Fyzioterapeut,437,2021-07-01
573,Fyzioterapeut,440,2021-07-01
574,Fyzioterapeut,444,2021-07-01
575,Fyzioterapeut,451,2021-07-01
576,Fyzioterapeut,825,2021-05-12
577,Fyzioterapeut,1725,2021-01-25
578,Fyzioterapeut,3358,2020-07-01
579,Fyzioterapeut,4889,2020-07-01
580,Fyzioterapeut,5657,2019-10-02
581,Fyzioterapeut,5997,2019-08-28
582,Fyzioterapeut,7168,2019-02-27
583,Fyzioterapeut,7456,2019-01-31
584,Fyzioterapeut,7554,2019-01-12
585,Fyzioterapeut,7619,2019-02-01
586,Fyzioterapeut,8797,2018-08-08
587,Fyzioterapeut,9554,2018-06-01
588,Fyzioterapeut,10036,2018-04-01
589,Fyzioterapeut,13203,2016-01-01
590,Fyzioterapeut,13416,2016-12-13
591,Fyzioterapeut,14017,2016-10-03
592,Fyzioterapeut,14630,2016-09-02
593,Fyzioterapeut,14668,2016-12-01
594,Fyzioterapeut,14675,2016-12-01
595,Fyzioterapeut,14680,2016-12-01
596,Fyzioterapeut,14682,2016-12-01
597,Fyzioterapeut,14685,2016-12-01
598,Fyzioterapeut,16178,2016-03-01
599,Fyzioterapeut,16588,2016-03-01
600,Fyzioterapeut,17000,2016-02-29
601,Fyzioterapeut,17674,2016-01-01
602,Fyzioterapeut,17718,2016-01-27
603,Fyzioterapeut,18021,2016-06-01
604,Fyzioterapeut,18023,2016-01-03
605,Fyzioterapeut,18182,2015-12-03
606,Fyzioterapeut,18191,2016-01-01
607,Fyzioterapeut,18331,2013-05-27
608,Fyzioterapeut,18333,2013-05-27
609,Fyzioterapeut,18339,2013-05-27
610,Fyzioterapeut,18358,2013-05-27
611,Fyzioterapeut,18362,2013-05-27
612,Fyzioterapeut,18369,2013-05-27
613,Fyzioterapeut,18375,2013-05-27
614,Fyzioterapeut,18433,2015-11-20
615,Fyzioterapeut,18436,2015-11-20
616,Fyzioterapeut,18439,2015-11-20
617,Fyzioterapeut,18592,2015-11-09
618,Fyzioterapeut,18753,2015-11-06
619,Fyzioterapeut,20647,2015-01-01
620,Fyzioterapeut,20665,2015-01-01
621,Fyzioterapeut,20796,2015-01-01
622,Fyzioterapeut,20806,2015-01-01
623,Fyzioterapeut,20811,2015-01-01
624,Fyzioterapeut,20817,2015-01-01
625,Fyzioterapeut,20822,2015-01-01
626,Fyzioterapeut,20825,2015-01-01
627,Fyzioterapeut,20829,2015-01-01
628,Fyzioterapeut,20891,2015-01-30
629,Fyzioterapeut,21443,2014-08-19
630,Fyzioterapeut,21574,2014-11-18
631,Fyzioterapeut,21577,2014-09-01
632,Fyzioterapeut,22029,2014-08-28
633,Fyzioterapeut,22038,2015-01-01
634,Fyzioterapeut,22203,2014-12-01
635,Fyzioterapeut,22271,2014-10-13
636,Fyzioterapeut,23374,2014-01-01
637,Fyzioterapeut,23440,2014-01-19
638,Fyzioterapeut,23544,2014-01-01
639,Fyzioterapeut,23564,2014-01-01
640,Fyzioterapeut,25230,2013-01-01
641,Fyzioterapeut,26021,2013-01-23
642,Fyzioterapeut,26074,2013-01-01
643,Fyzioterapeut,26141,2013-03-08
644,Fyzioterapeut,26258,2013-01-01
645,Fyzioterapeut,26259,2013-01-01
646,Fyzioterapeut,27053,2013-01-01
647,Fyzioterapeut,27069,2013-01-01
648,Fyzioterapeut,27081,2013-05-01
649,Fyzioterapeut,29493,2012-03-21
650,Fyzioterapeut,29494,2012-03-21
651,Fyzioterapeut,31415,2011-01-01
652,Fyzioterapeut,31418,2011-01-01
653,Fyzioterapeut,31462,2011-01-01
654,Fyzioterapeut,32370,2011-01-01
655,Fyzioterapeut,32384,2011-01-01
